Name,Lat,Long
Dixie @ Anderson,38.2476,-85.782535
Dixie @ Railroad,38.245487,-85.783537
Dixie @ Maple,38.246537,-85.782961
Dixie @ W Breckinridge,38.2447,-85.783764
Dixie @ Garland,38.243115,-85.784437
Dixie @ Date,38.242836,-85.784617
Dixie @ W Kentucky,38.242008,-85.784881
Dixie @ Greenwood,38.24095,-85.785383
Dixie @ W St Catherine,38.240111,-85.785602
Dixie @ Osage,38.239218,-85.786072
Dixie @ Hale,38.23821,-85.786383
Dixie @ W Oak,38.237258,-85.786806
Dixie @ Dumesnil,38.236213,-85.787226
Dixie @ W Ormsby,38.235195,-85.787622
Dixie @ Wilson,38.234012,-85.788089
Dixie @ St. Louis,38.232883,-85.78859
Dixie @ W Burnett,38.229957,-85.789741
Dixie @ Bolling,38.229127,-85.790081
Dixie @ W Hill,38.228799,-85.790366
W Hill @ Dixie,38.228293,-85.790275
Dixie @ W Lee,38.22665,-85.791059
Dixie @ Burwell,38.225743,-85.791384
Dixie @ Vorster,38.224607,-85.791906
Dixie @ Algonquin,38.224068,-85.792036
Dixie @ Dixdale,38.222514,-85.792709
Dixie @ Bernheim,38.221732,-85.793007
Dixie @ Allston,38.220057,-85.79374
Dixie @ Wilart,38.219156,-85.794108
Dixie @ Harold,38.217619,-85.794708
Dixie @ Hardesty,38.216919,-85.795167
Dixie @ Wathen,38.216413,-85.795247
Dixie @ Sonne,38.21336,-85.796463
Dixie @ Glenview,38.21262,-85.796697
Dixie @ Youngland,38.21176,-85.797055
Dixie @ Nelson,38.2107,-85.797485
Dixie @ Marlow,38.210084,-85.797806
Dixie @ Loney,38.208833,-85.798227
Dixie @ Argonne,38.207853,-85.79869
Dixie @ Garey,38.20685,-85.799019
Dixie @ Ralph,38.205955,-85.799375
Dixie @ Gillette,38.203969,-85.800354
Dixie @ Olenda,38.201777,-85.801472
Dixie @ Bachman,38.200372,-85.80256
Dixie @ Mary Cathrine,38.199848,-85.802984
Dixie @ Luken,38.199009,-85.803332
Dixie @ Oehrle,38.197952,-85.8041
Dixie @ Nobel,38.196524,-85.805031
Dixie @ Leroy,38.195963,-85.805568
Dixie @ Park,38.194595,-85.80633
Dixie @ Garrs 2,38.189684,-85.809836
Dixie @ Garrs,38.189312,-85.809885
Dixie @ Heaton,38.18103,-85.81603
Dixie @ Stewart,38.180146,-85.816904
Dixie @ Kendall,38.17911,-85.817939
Dixie @ Kendall 2,38.179615,-85.817239
Dixie @ Spencerian,38.176805,-85.820354
Dixie @ San Jose,38.178041,-85.818893
Dixie @ Klages,38.175607,-85.821884
Dixie @ Rockford,38.174526,-85.823057
Dixie @ Kingsford,38.173061,-85.824725
Dixie @ Kingsford 2,38.172078,-85.825518
Dixie @ Neil,38.171353,-85.826303
Dixie @ Brick Kiln,38.170426,-85.826977
Dixie @ Long John Silvers,38.170184,-85.827299
Dixie @ Upper Hunters Trace,38.168639,-85.828425
Dixie @ Bonnieville,38.166751,-85.829283
Dixie @ Bonnieville 2,38.167228,-85.829194
Dixie @ Meyers,38.165148,-85.830122
Dixie @ Trent,38.16214,-85.83159
Dixie @ Flintlock,38.160029,-85.832574
Dixie @ Blanton,38.157301,-85.833952
Dixie @ Lower Hunters,38.156256,-85.834549
Dixie @ 6633,38.155042,-85.834995
Dixie @ Lowes driveway,38.154452,-85.835362
Dixie @ Dixie Manor,38.151934,-85.836292
Dixie @ St Pauls Church,38.150516,-85.836897
Dixie @ Crawford,38.150185,-85.837092
Dixie @ Ash,38.147025,-85.83804
Dixie @ Rose Farm,38.146035,-85.838383
Dixie @ Old St Andrews Church,38.144365,-85.839094
Dixie @ Old St Andrews Church 2,38.144785,-85.838979
Dixie @ Greenwood,38.24095,-85.785383
TARC Bus, N/A, N/A

